"Date","Date_UTC","PoolName","Currency","Rate","Balance","Paid","Earnings","Value","Balance_Sat","Paid_Sat","Earnings_Sat","Value_Sat"
"12/22/2021 19:04:38","12/22/2021 13:34:38","HeroMiners","ERG","9268.72348074971","0.079361773","0","0.000236280","0.000151027","856","0","3","2"
"12/22/2021 19:35:37","12/22/2021 14:05:37","HeroMiners","CTXC","121065.375302663","1.037645044535567222","16.130901746710298032","2.938707414433369394","0.158959541774403403","857","13324","2427","131"
"12/22/2021 20:06:36","12/22/2021 14:36:36","HeroMiners","CTXC","121642.42743001","1.187656462621554891","16.130901746710298032","3.088718832519357063","0.150011418085987669","976","13261","2539","123"
"12/22/2021 20:06:36","12/22/2021 14:36:36","Zpool","BTC","1","0.00035536","0","0.00000183","0.00000002","35536","0","183","2"
"12/22/2021 20:36:42","12/22/2021 15:06:42","HeroMiners","CTXC","121993.127978488","0.105343875705063623","17.350912211896808584","3.226416710789376347","0.137697878270019284","86","14223","2645","113"
"12/22/2021 20:36:42","12/22/2021 15:06:42","Zpool","BTC","1","0.00035542","0","0.00000189","0.00000006","35542","0","189","6"
"12/22/2021 21:07:40","12/22/2021 15:37:40","HeroMiners","CTXC","121932.743656511","0.193813079508018629","17.350912211896808584","3.314885914592331353","0.088469203802955006","159","14230","2719","73"
"12/22/2021 21:07:40","12/22/2021 15:37:40","Zpool","BTC","1","0.00035543","0","0.00000190","0.00000001","35543","0","190","1"
"12/22/2021 21:38:10","12/22/2021 16:08:10","HeroMiners","CTXC","122091.60088213","0.338849161213824562","17.350912211896808584","3.459921996298137286","0.145036081705805933","278","14211","2834","119"
"12/22/2021 22:09:16","12/22/2021 16:39:16","HeroMiners","CTXC","119904.076738609","0.500295522681300126","17.350912211896808584","3.621368357765612850","0.161446361467475564","417","14471","3020","135"
"12/22/2021 22:09:16","12/22/2021 16:39:16","Zpool","BTC","1","0.00035544","0","0.00000191","0.00000001","35544","0","191","1"
"12/22/2021 22:39:44","12/22/2021 17:09:44","HeroMiners","CTXC","121359.223300971","0.595704153167245246","17.350912211896808584","3.716776988251557970","0.095408630485945120","491","14297","3063","79"
"12/22/2021 22:39:44","12/22/2021 17:09:44","unMineable","XMR","255.214022479251","0.00007339","0","0.00003534","0.00001886","29","0","14","7"
"12/22/2021 22:39:44","12/22/2021 17:09:44","Zpool","BTC","1","0.00035547","0","0.00000194","0.00000003","35547","0","194","3"
"12/25/2021 01:48:02","12/24/2021 20:18:02","2Miners","ETH","12.5722906713603","0.000055092","0.051610865","0.000047611","0.000033900","438","410513","379","270"
"12/25/2021 01:48:02","12/24/2021 20:18:02","2Miners","FIRO","9401.42025468512","0.04207483","0","0.00340311","0.00278436","448","0","36","30"
"12/25/2021 01:48:02","12/24/2021 20:18:02","2Miners","RVN","528898.490582772","3.14325","42.9164999","0.9157500","0.8415000","594","8114","173","159"
"12/25/2021 01:48:02","12/24/2021 20:18:02","Ezil","ETH","12.5722906713603","0.000145876011603037","0","0.000000712071956179","0.000000712071956179","1160","0","6","6"
"12/25/2021 01:48:02","12/24/2021 20:18:02","HeroMiners","TUBE","13070357.7356912","0.000034105","385.5886","133.055302758","133.055302758","0","2950","1018","1018"
"12/25/2021 01:48:02","12/24/2021 20:18:02","HeroMiners","XWP","1732765.07376544","0.000000006907","31.19564363","4.387038941639","4.387038941639","0","1800","253","253"
"12/25/2021 01:48:02","12/24/2021 20:18:02","MiningPoolHub","BTC","1","0.00008745","0","0.00000011","0.00000011","8745","0","11","11"
"12/25/2021 01:48:02","12/24/2021 20:18:02","unMineable","XMR","250.140439130942","0.00007817","0","0.00004012","0.00000478","31","0","16","2"
"12/25/2021 01:48:02","12/24/2021 20:18:02","WoolyPooly","VEIL","2247655.69511","4.016219458065","1158.012136017237","22.161645781456","22.103430872438","179","51521","986","983"
"12/25/2021 01:48:02","12/24/2021 20:18:02","ZergPool","BTC","1","0.00047886","0.00391611","0.00013506","0.00013481","47886","391611","13506","13481"
"12/25/2021 01:48:02","12/24/2021 20:18:02","Zpool","BTC","1","0.00036572","0","0.00001219","0.00001025","36572","0","1219","1025"
