"Date","Date_UTC","PoolName","Algorithm","Currency","Rate","Profit","ProfitApi","Cost","Power","Penalty","Duration","Donation"
"12/25/2021 01:57:23","12/24/2021 20:27:23","2Miners","Ethash","ETH","51043.95","0.8829","0.8829","0","0.025","0","0.434","0"
"12/25/2021 02:01:54","12/24/2021 20:31:54","2Miners","Ethash","ETH","51058.24","9.014","9.014","0","0.265","0","4.516","0"
"12/25/2021 02:04:49","12/24/2021 20:34:49","2Miners","Ethash","ETH","51054.26","5.5628","5.5628","0","0.171","0","2.903","0"
"12/25/2021 02:06:33","12/24/2021 20:36:33","2Miners","Ethash","ETH","51050.68","3.2679","3.2679","0","0.102","0","1.731","0"
"12/25/2021 02:08:55","12/24/2021 20:38:55","2Miners","Ethash","ETH","51068.55","4.4629","4.4629","0","0.14","0","2.381","0"
"12/25/2021 02:14:31","12/24/2021 20:44:31","2Miners","Ethash","ETH","51068.55","10.3701","10.3701","0","0.329","0","5.59","0"
"12/25/2021 02:17:25","12/24/2021 20:47:25","2Miners","Ethash","ETH","51197.16","5.269","5.269","0","0.171","0","2.907","0"
"12/25/2021 02:18:32","12/24/2021 20:48:32","2Miners","Ethash","ETH","51209.76","1.9879","1.9879","0","0.065","0","1.11","0"
